Date,SP500
2002-08-27,1331.19
2002-08-28,1307.28
2002-08-30,1304.85
2002-09-03,1250.68
2002-09-04,1273.03
2002-09-05,1252.77
2002-09-06,1273.88
2002-09-09,1286.79
2002-09-10,1296.23
2002-09-11,1296.25
2002-09-12,1264.42
2002-09-13,1268.57
2002-09-17,1245.39
2002-09-18,1239.70
2002-09-19,1202.46
2002-09-20,1205.42
2002-09-24,1168.22
2002-09-25,1197.56
2002-09-26,1219.60
2002-09-27,1180.28
2002-09-30,1163.04
2002-10-01,1209.59
2002-10-02,1181.32
2002-10-03,1168.56
2002-10-04,1142.36
2002-10-07,1120.51
2002-10-08,1139.90
2002-10-09,1108.91
2002-10-10,1147.80
2002-10-11,1192.63
2002-10-15,1258.24
2002-10-16,1228.01
2002-10-17,1255.42
2002-10-18,1262.84
2002-10-21,1284.73
2002-10-22,1271.08
2002-10-23,1279.63
2002-10-24,1260.17
2002-10-25,1281.81
2002-10-28,1271.20
2002-10-29,1259.79
2002-10-30,1272.25
2002-10-31,1265.41
2002-11-01,1287.13
2002-11-05,1307.80
2002-11-06,1320.04
2002-11-07,1290.15
2002-11-08,1278.94
2002-11-11,1252.42
2002-11-12,1262.14
2002-11-13,1261.97
2002-11-14,1293.21
2002-11-15,1301.28
2002-11-18,1287.79
2002-11-19,1282.61
2002-11-20,1307.61
2002-11-21,1335.74
2002-11-22,1331.16
2002-11-25,1334.52
2002-11-26,1306.79
2002-11-27,1343.47
2002-11-29,1339.89
2002-12-02,1337.34
2002-12-03,1317.64
2002-12-04,1313.53
2002-12-05,1297.80
2002-12-06,1305.98
2002-12-09,1277.05
2002-12-10,1294.91
2002-12-11,1295.91
2002-12-12,1291.16
2002-12-13,1273.83
2002-12-16,1303.85
2002-12-17,1293.26
2002-12-18,1276.36
2002-12-19,1266.79
2002-12-20,1283.25
2002-12-24,1278.58
2002-12-26,1274.55
2002-12-27,1254.65
2002-12-30,1260.42
2003-01-06,1331.82
2003-01-07,1323.17
2003-01-08,1304.95
2003-01-09,1330.30
2003-01-10,1330.29
2003-01-14,1336.24
2003-01-15,1317.18
2003-01-16,1312.00
2003-01-17,1293.63
2003-01-21,1273.31
2003-01-22,1260.16
2003-01-23,1273.04
2003-01-24,1235.84
2003-01-27,1215.86
2003-01-28,1231.74
2003-01-29,1240.31
2003-01-30,1212.23
2003-01-31,1228.14
2003-02-03,1234.78
2003-02-04,1217.40
2003-02-05,1211.04
2003-02-06,1203.58
2003-02-07,1191.46
2003-02-10,1200.51
2003-02-12,1176.15
2003-02-13,1174.43
2003-02-14,1199.61
2003-02-18,1223.11
2003-02-19,1214.66
2003-02-20,1203.18
2003-02-21,1219.10
2003-02-24,1196.71
2003-02-25,1205.32
2003-02-26,1189.98
2003-02-27,1204.11
2003-02-28,1209.71
2003-03-03,1200.60
2003-03-04,1182.17
2003-03-05,1193.87
2003-03-06,1182.82
2003-03-07,1192.61
2003-03-10,1161.85
2003-03-11,1152.15
2003-03-12,1157.61
2003-03-13,1197.56
2003-03-14,1199.55
2003-03-17,1242.09
2003-03-18,1247.39
2003-03-19,1258.37
2003-03-20,1260.76
2003-03-24,1244.31
2003-03-25,1259.44
2003-03-26,1252.59
2003-03-27,1250.71
2003-03-28,1243.51
2003-03-31,1221.46
2003-04-01,1236.30
2003-04-02,1268.82
2003-04-03,1262.43
2003-04-04,1265.90
2003-04-07,1267.48
2003-04-08,1265.57
2003-04-09,1247.99
2003-04-10,1256.04
2003-04-11,1251.40
2003-04-14,1275.82
2003-04-15,1283.96
2003-04-16,1268.28
2003-04-17,1287.99
2003-04-21,1285.72
2003-04-22,1313.63
2003-04-23,1324.68
2003-04-24,1313.75
2003-04-25,1295.57
2003-04-28,1318.85
2003-04-30,1322.07
2003-05-01,1321.39
2003-05-02,1341.28
2003-05-06,1347.54
2003-05-07,1340.87
2003-05-08,1327.42
2003-05-09,1346.68
2003-05-12,1363.61
2003-05-13,1359.74
2003-05-14,1355.76
2003-05-15,1366.58
2003-05-16,1363.32
2003-05-19,1329.38
2003-05-20,1327.87
2003-05-21,1333.33
2003-05-22,1345.53
2003-05-23,1347.49
2003-05-27,1373.86
2003-05-28,1376.57
2003-05-29,1371.51
2003-05-30,1391.72
2003-06-02,1396.70
2003-06-03,1403.29
2003-06-04,1424.90
2003-06-05,1430.63
2003-06-06,1427.27
2003-06-09,1410.21
2003-06-10,1423.11
2003-06-11,1441.86
2003-06-12,1443.41
2003-06-13,1429.11
2003-06-16,1461.15
2003-06-17,1462.48
2003-06-18,1460.32
2003-06-19,1438.09
2003-06-20,1439.54
2003-06-23,1419.24
2003-06-24,1421.86
2003-06-25,1410.09
2003-06-26,1425.82
2003-06-27,1411.96
2003-06-30,1409.48
2003-07-01,1421.03
2003-07-02,1437.61
2003-07-03,1425.96
2003-07-07,1453.07
2003-07-08,1458.51
2003-07-09,1450.51
2003-07-10,1430.96
2003-07-11,1444.70
2003-07-14,1453.00
2003-07-15,1448.02
2003-07-16,1438.85
2003-07-17,1421.11
2003-07-18,1437.88
2003-07-22,1430.35
2003-07-23,1431.10
2003-07-24,1420.95
2003-07-25,1445.70
2003-07-28,1442.58
2003-07-29,1432.31
2003-07-30,1429.90
2003-07-31,1434.33
2003-08-01,1419.64
2003-08-04,1423.51
2003-08-05,1398.42
2003-08-06,1401.01
2003-08-07,1411.26
2003-08-08,1416.30
2003-08-11,1421.01
2003-08-12,1435.17
2003-08-13,1426.55
2003-08-14,1435.95
2003-08-15,1436.43
2003-08-18,1449.65
2003-08-19,1453.45
2003-08-20,1450.60
2003-08-21,1454.98
2003-08-22,1440.16
2003-08-25,1441.11
2003-08-26,1445.50
2003-08-27,1445.84
2003-08-28,1454.70
2003-08-29,1462.30
2003-09-02,1482.61
2003-09-03,1489.25
2003-09-04,1491.77
2003-09-05,1482.24
2003-09-08,1497.22
2003-09-09,1484.93
2003-09-10,1467.29
2003-09-11,1475.71
