Date,Close,sigma2
2002-02-21,1527.34,0.000158
2002-02-22,1539.91,0.000193
2002-02-25,1567.59,0.000169
2002-02-26,1567.65,0.000143
2002-02-27,1569.00,0.000136
2002-02-28,1564.59,0.000127
2002-03-01,1600.02,0.000126
2002-03-04,1631.25,0.000110
2002-03-05,1620.37,0.000095
2002-03-06,1644.20,0.000103
2002-03-07,1636.86,0.000087
2002-03-08,1646.44,0.000091
2002-03-11,1652.04,0.000081
2002-03-12,1648.28,0.000073
2002-03-13,1632.46,0.000074
2002-03-14,1631.00,0.000088
2002-03-15,1649.56,0.000086
2002-03-18,1648.73,0.000073
2002-03-19,1655.44,0.000071
2002-03-20,1629.43,0.000064
2002-03-21,1631.93,0.000095
2002-03-22,1625.02,0.000088
2002-03-25,1601.21,0.000091
2002-03-26,1610.81,0.000120
2002-03-27,1619.45,0.000107
2002-03-28,1623.43,0.000095
2002-04-01,1622.23,0.000088
2002-04-02,1608.39,0.000085
2002-04-03,1592.60,0.000097
2002-04-04,1593.96,0.000113
2002-04-05,1588.87,0.000106
2002-04-08,1592.88,0.000107
2002-04-09,1582.36,0.000098
2002-04-10,1600.36,0.000106
2002-04-11,1562.52,0.000091
2002-04-12,1572.89,0.000152
2002-04-15,1560.92,0.000134
2002-04-16,1597.48,0.000144
2002-04-17,1594.32,0.000124
2002-04-18,1592.08,0.000122
2002-04-19,1593.07,0.000118
2002-04-22,1568.52,0.000112
2002-04-23,1558.79,0.000144
2002-04-24,1547.74,0.000150
2002-04-25,1545.40,0.000158
2002-04-26,1524.08,0.000153
2002-04-29,1508.75,0.000181
2002-04-30,1525.00,0.000198
2002-05-01,1538.65,0.000171
2002-05-02,1536.16,0.000149
2002-05-03,1520.44,0.000144
2002-05-06,1491.05,0.000161
2002-05-07,1486.57,0.000211
2002-05-08,1542.53,0.000206
2002-05-09,1520.39,0.000190
2002-05-10,1494.87,0.000221
2002-05-13,1522.80,0.000262
2002-05-14,1555.04,0.000221
2002-05-15,1546.73,0.000187
2002-05-16,1556.93,0.000189
2002-05-17,1569.17,0.000168
2002-05-20,1548.31,0.000147
2002-05-21,1531.32,0.000174
2002-05-22,1540.12,0.000193
2002-05-23,1555.82,0.000173
2002-05-24,1537.02,0.000149
2002-05-28,1523.83,0.000172
2002-05-29,1514.33,0.000184
2002-05-30,1510.25,0.000189
2002-05-31,1513.77,0.000185
2002-06-03,1476.26,0.000170
2002-06-04,1476.28,0.000245
2002-06-05,1489.88,0.000231
2002-06-06,1460.50,0.000202
2002-06-07,1458.21,0.000255
2002-06-10,1462.78,0.000245
2002-06-11,1438.47,0.000225
2002-06-12,1448.16,0.000265
